source,target,weight
2932,19671,2
33353,19648,3
33353,19679,5
33368,19129,1
32686,19687,2
836,19692,5
32164,19641,1
32164,19682,1
33390,19682,2
26899,19689,2
26899,19615,1
26899,19583,0
836,19700,6
33020,19707,1
33353,19699,0
11007,19707,2
2932,19714,5
33353,19517,0
26899,19711,2
2932,18368,1
12515,19714,2
12515,19685,2
12515,19711,3
26444,19726,1
33407,19681,1
33407,19240,0
32805,19732,1
14675,19735,0
29217,19737,3
1289,19653,2
33429,11404,2
14675,19742,1
33188,19615,0
33353,19748,0
29217,19748,0
14560,19748,0
33447,711,3
23305,19755,3
23305,19768,1
33453,19758,2
836,19770,5
31822,10557,0
31822,19755,0
33447,19782,0
32230,19786,1
358,18258,3
32686,17430,1
13727,19612,2
27114,19798,2
27114,19612,5
33202,19630,4
33530,19805,1
358,19814,2
26444,19814,0
33538,19797,1
33540,11751,1
16212,19819,0
33551,19809,2
836,19819,1
8878,19794,0
1257,4944,0
33567,5226,1
8370,19612,2
33478,19814,0
5233,14998,0
33584,17070,1
8370,19790,4
33598,19844,3
28685,19849,2
19046,19850,4
33612,14331,0
32440,19858,4
7939,19847,0
836,19860,1
33603,19858,1
23708,19853,1
33598,19869,6
30928,19857,1
33646,19870,1
30212,19872,3
33658,19858,0
33663,17479,0
17696,19874,3
836,19874,7
29575,19888,1
33689,15328,0
33603,19897,1
30381,19893,2
33693,19897,0
30519,16948,0
33701,19908,0
33701,19858,0
33603,19911,2
33713,14142,0
25454,19892,0
33646,19911,3
32440,19854,0
23305,19865,3
12515,19896,2
8904,19893,0
33701,19925,3
381,19163,0
108,19901,4
33272,19858,0
33646,17114,0
32429,19882,1
23305,19940,0
33781,19943,5
33781,16045,1
17696,19167,0
33811,13438,1
33812,19951,2
33812,19947,0
33825,18820,1
33258,223,1
31188,11930,1
15412,19965,1
27983,19964,0
33841,11220,0
836,19971,6
33854,989,3
6391,19977,4
24593,19980,3
33781,19983,1
33878,19972,1
836,19951,2
14904,19990,1
8370,19991,2
30212,19995,2
33738,19869,1
924,19991,2
33852,20001,0
31822,19995,3
33877,19987,0
32906,8775,0
15496,18528,0
33955,20006,0
33967,20026,-1
33934,19933,2
8041,20036,1
33287,20031,1
33603,19933,2
836,20024,4
24593,20031,0
33934,19713,0
33603,20025,1
30538,20030,0
30212,20052,-1
30212,20045,0
34006,20061,0
6648,20013,1
31093,20064,0
30212,20064,1
21608,20076,5
33540,20075,2
33970,20071,2
30212,20077,2
30212,20086,0
836,20087,1
33934,17471,1
34083,5443,1
30212,20102,1
31736,20100,3
15847,10025,1
8214,20105,0
33540,20113,3
29575,20118,1
8878,20120,2
34130,20113,3
18626,20098,3
33603,20100,1
34153,20123,1
34153,20114,1
34153,20132,5
34153,20095,1
30212,20118,1
836,20139,0
31154,20143,1
31154,20118,1
32130,20104,0
34165,20104,2
34165,20136,1
1330,20129,1
1330,20125,1
1330,20036,0
1330,20074,0
1330,20051,0
31046,20074,0
21608,20168,1
14588,20173,1
836,20169,0
34204,6107,8
836,20178,1
33738,20084,1
34223,9850,1
14588,20177,0
30212,20186,1
34238,9588,0
30835,13746,3
33499,20179,1
26127,20199,0
24000,20199,2
29217,20156,0
8370,20198,3
34269,20208,2
34116,20201,2
34269,20200,1
1330,12330,1
27342,16637,1
28523,20208,5
33603,20213,0
33603,20208,2
33603,20201,0
836,20222,5
2576,20075,1
2576,19980,2
82,20075,0
34269,20236,2
34130,20208,1
34177,20237,2
34310,18087,2
32402,20237,1
30835,18186,3
6648,20235,1
836,20247,2
19000,20172,1
924,20248,0
836,20170,3
9257,20248,0
32901,19377,2
29208,20219,1
16922,13513,1
35384,20277,2
35394,20283,0
82,20286,1
34116,20286,1
82,20291,0
16024,20291,2
836,20296,10
21755,974,0
1330,18249,1
35421,989,1
30212,20289,1
1330,10057,0
1330,11524,1
24000,20308,4
1330,9472,1
24000,20319,0
17177,20319,0
18641,20326,1
33841,10885,0
33841,12226,1
34130,20304,3
34130,20339,0
17177,20339,0
34130,11340,1
33716,20170,2
35472,11661,1
34269,20327,2
26559,20345,1
23305,20304,3
1330,20354,1
1330,20345,1
24696,20360,1
35491,20356,2
35491,20349,1
29587,20372,2
29587,20329,2
27581,11661,0
35481,20372,0
34333,20319,0
35521,12727,3
15915,20367,0
35496,17921,1
25454,20367,0
33812,20393,0
8370,20397,1
29587,20392,2
35573,13727,0
7922,18026,2
924,20416,0
836,20418,1
836,20405,0
14906,11852,2
16853,20237,3
8370,20423,1
35602,20409,0
33812,20421,0
33812,20430,2
1330,20407,2
31822,20422,1
836,20404,1
15828,20438,0
33922,20435,0
8560,20406,3
34153,20414,0
5247,16532,0
5247,20166,1
5247,14885,1
35657,14187,0
14588,20414,0
35650,11220,0
35650,11247,0
35679,13756,0
35679,13422,0
31434,20413,0
35685,14331,0
30536,20472,6
35701,8278,0
34130,20474,0
